  I  J
------
 49  1
 81  1
 17  1
 49  4
 60  4
 70  4
 81  4
 92  4
  6  4
 17  4
 28  4
 38  4
 49  6
 55  6
 62  6
 68  6
 75  6
 81  6
 87  6
 94  6
  4  6
 11  6
 17  6
 23  6
 30  6
 36  6
 43  6
 49  9
 54  9
 58  9
 63  9
 67  9
 72  9
 76  9
 81  9
 86  9
 90  9
 95  9
  3  9
  8  9
 12  9
 17  9
 22  9
 26  9
 31  9
 35  9
 40  9
 44  9
 49 11
 53 11
 56 11
 60 11
 64 11
 67 11
 71 11
 75 11
 79 11
 82 11
 86 11
 90 11
 93 11
  1 11
  5 11
  8 11
 12 11
 16 11
 19 11
 23 11
 27 11
 31 11
 34 11
 38 11
 42 11
 45 11
 49 14
 52 14
 55 14
 59 14
 62 14
 65 14
 68 14
 71 14
 75 14
 78 14
 81 14
 84 14
 87 14
 91 14
 94 14
  1 14
  4 14
  7 14
 11 14
 14 14
 17 14
 20 14
 23 14
 27 14
 30 14
 33 14
 36 14
 39 14
 43 14
 46 14
 49 16
 52 16
 55 16
 58 16
 61 16
 64 16
 66 16
 69 16
 72 16
 75 16
 78 16
 81 16
 84 16
 87 16
 90 16
 93 16
 96 16
  2 16
  5 16
  8 16
 11 16
 14 16
 17 16
 20 16
 23 16
 26 16
 29 16
 32 16
 34 16
 37 16
 40 16
 43 16
 46 16
 49 18
 52 18
 54 18
 57 18
 60 18
 62 18
 65 18
 68 18
 70 18
 73 18
 76 18
 78 18
 81 18
 84 18
 86 18
 89 18
 92 18
 94 18
  1 18
  4 18
  6 18
  9 18
 12 18
 14 18
 17 18
 20 18
 22 18
 25 18
 28 18
 30 18
 33 18
 36 18
 38 18
 41 18
 44 18
 46 18
 49 21
 52 21
 54 21
 57 21
 59 21
 62 21
 64 21
 67 21
 69 21
 72 21
 74 21
 77 21
 79 21
 82 21
 84 21
 87 21
 89 21
 92 21
 94 21
  1 21
  4 21
  6 21
  9 21
 11 21
 14 21
 16 21
 19 21
 21 21
 24 21
 26 21
 29 21
 31 21
 34 21
 36 21
 39 21
 41 21
 44 21
 46 21
 49 23
 51 23
 54 23
 56 23
 59 23
 61 23
 64 23
 66 23
 69 23
 71 23
 74 23
 76 23
 79 23
 81 23
 83 23
 86 23
 88 23
 91 23
 93 23
 96 23
  2 23
  5 23
  7 23
 10 23
 12 23
 15 23
 17 23
 19 23
 22 23
 24 23
 27 23
 29 23
 32 23
 34 23
 37 23
 39 23
 42 23
 44 23
 47 23
 49 26
 51 26
 54 26
 56 26
 59 26
 61 26
 64 26
 66 26
 69 26
 71 26
 74 26
 76 26
 79 26
 81 26
 83 26
 86 26
 88 26
 91 26
 93 26
 96 26
  2 26
  5 26
  7 26
 10 26
 12 26
 15 26
 17 26
 19 26
 22 26
 24 26
 27 26
 29 26
 32 26
 34 26
 37 26
 39 26
 42 26
 44 26
 47 26
 49 28
 52 28
 54 28
 57 28
 59 28
 62 28
 64 28
 67 28
 69 28
 72 28
 74 28
 77 28
 79 28
 82 28
 84 28
 87 28
 89 28
 92 28
 94 28
  1 28
  4 28
  6 28
  9 28
 11 28
 14 28
 16 28
 19 28
 21 28
 24 28
 26 28
 29 28
 31 28
 34 28
 36 28
 39 28
 41 28
 44 28
 46 28
 49 31
 52 31
 54 31
 57 31
 60 31
 62 31
 65 31
 68 31
 70 31
 73 31
 76 31
 78 31
 81 31
 84 31
 86 31
 89 31
 92 31
 94 31
  1 31
  4 31
  6 31
  9 31
 12 31
 14 31
 17 31
 20 31
 22 31
 25 31
 28 31
 30 31
 33 31
 36 31
 38 31
 41 31
 44 31
 46 31
 49 33
 52 33
 55 33
 58 33
 61 33
 64 33
 66 33
 69 33
 72 33
 75 33
 78 33
 81 33
 84 33
 87 33
 90 33
 93 33
 96 33
  2 33
  5 33
  8 33
 11 33
 14 33
 17 33
 20 33
 23 33
 26 33
 29 33
 32 33
 34 33
 37 33
 40 33
 43 33
 46 33
 49 35
 52 35
 55 35
 59 35
 62 35
 65 35
 68 35
 71 35
 75 35
 78 35
 81 35
 84 35
 87 35
 91 35
 94 35
  1 35
  4 35
  7 35
 11 35
 14 35
 17 35
 20 35
 23 35
 27 35
 30 35
 33 35
 36 35
 39 35
 43 35
 46 35
 49 38
 53 38
 56 38
 60 38
 64 38
 67 38
 71 38
 75 38
 79 38
 82 38
 86 38
 90 38
 93 38
  1 38
  5 38
  8 38
 12 38
 16 38
 19 38
 23 38
 27 38
 31 38
 34 38
 38 38
 42 38
 45 38
 49 40
 54 40
 58 40
 63 40
 67 40
 72 40
 76 40
 81 40
 86 40
 90 40
 95 40
  3 40
  8 40
 12 40
 17 40
 22 40
 26 40
 31 40
 35 40
 40 40
 44 40
 49 43
 55 43
 62 43
 68 43
 75 43
 81 43
 87 43
 94 43
  4 43
 11 43
 17 43
 23 43
 30 43
 36 43
 43 43
 49 45
 60 45
 70 45
 81 45
 92 45
  6 45
 17 45
 28 45
 38 45
 49 48
 81 48
 17 48
